Epoch: [0][0/2151], lr: 0.00100	Time 8.220 (8.220)	Data 3.079 (3.079)	Loss 5.1683 (5.1683)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/2151], lr: 0.00100	Time 0.411 (0.937)	Data 0.043 (0.287)	Loss 5.1259 (5.1657)	Prec@1 0.000 (0.595)	Prec@5 5.000 (2.143)
Epoch: [0][40/2151], lr: 0.00100	Time 0.580 (0.794)	Data 0.217 (0.284)	Loss 5.1638 (5.1657)	Prec@1 0.000 (0.549)	Prec@5 0.000 (1.646)
Epoch: [0][60/2151], lr: 0.00100	Time 0.385 (0.778)	Data 0.027 (0.294)	Loss 5.1546 (5.1650)	Prec@1 0.000 (0.533)	Prec@5 5.000 (2.131)
Epoch: [0][80/2151], lr: 0.00100	Time 1.027 (0.764)	Data 0.673 (0.310)	Loss 5.1626 (5.1636)	Prec@1 2.500 (0.556)	Prec@5 5.000 (2.469)
Epoch: [0][100/2151], lr: 0.00100	Time 1.031 (0.744)	Data 0.670 (0.309)	Loss 5.1805 (5.1624)	Prec@1 0.000 (0.569)	Prec@5 5.000 (2.673)
Epoch: [0][120/2151], lr: 0.00100	Time 0.356 (0.747)	Data 0.000 (0.324)	Loss 5.1000 (5.1607)	Prec@1 0.000 (0.537)	Prec@5 10.000 (2.707)
Epoch: [0][140/2151], lr: 0.00100	Time 0.360 (0.740)	Data 0.000 (0.326)	Loss 5.1591 (5.1589)	Prec@1 0.000 (0.532)	Prec@5 0.000 (2.713)
Epoch: [0][160/2151], lr: 0.00100	Time 1.779 (0.749)	Data 1.417 (0.333)	Loss 5.2051 (5.1581)	Prec@1 0.000 (0.637)	Prec@5 0.000 (2.826)
Epoch: [0][180/2151], lr: 0.00100	Time 0.890 (0.744)	Data 0.531 (0.334)	Loss 5.1633 (5.1559)	Prec@1 0.000 (0.622)	Prec@5 0.000 (3.080)
Epoch: [0][200/2151], lr: 0.00100	Time 1.547 (0.759)	Data 1.185 (0.354)	Loss 5.1431 (5.1545)	Prec@1 2.500 (0.622)	Prec@5 5.000 (3.035)
Epoch: [0][220/2151], lr: 0.00100	Time 1.627 (0.755)	Data 1.257 (0.354)	Loss 5.1485 (5.1540)	Prec@1 0.000 (0.611)	Prec@5 10.000 (3.111)
Epoch: [0][240/2151], lr: 0.00100	Time 3.892 (0.772)	Data 3.505 (0.368)	Loss 5.1936 (5.1531)	Prec@1 0.000 (0.643)	Prec@5 0.000 (3.154)
Epoch: [0][260/2151], lr: 0.00100	Time 2.007 (0.766)	Data 1.633 (0.365)	Loss 5.1328 (5.1523)	Prec@1 0.000 (0.680)	Prec@5 0.000 (3.218)
Epoch: [0][280/2151], lr: 0.00100	Time 2.964 (0.766)	Data 2.601 (0.369)	Loss 5.1216 (5.1512)	Prec@1 0.000 (0.658)	Prec@5 7.500 (3.247)
Epoch: [0][300/2151], lr: 0.00100	Time 1.667 (0.764)	Data 1.310 (0.368)	Loss 5.1297 (5.1495)	Prec@1 0.000 (0.714)	Prec@5 7.500 (3.372)
Epoch: [0][320/2151], lr: 0.00100	Time 1.385 (0.761)	Data 1.015 (0.368)	Loss 5.1045 (5.1485)	Prec@1 0.000 (0.701)	Prec@5 10.000 (3.326)
Epoch: [0][340/2151], lr: 0.00100	Time 1.701 (0.765)	Data 1.319 (0.370)	Loss 5.1256 (5.1477)	Prec@1 0.000 (0.726)	Prec@5 5.000 (3.416)
Epoch: [0][360/2151], lr: 0.00100	Time 1.348 (0.763)	Data 0.979 (0.369)	Loss 5.1403 (5.1463)	Prec@1 0.000 (0.699)	Prec@5 2.500 (3.373)
Epoch: [0][380/2151], lr: 0.00100	Time 1.881 (0.761)	Data 1.505 (0.365)	Loss 5.1409 (5.1451)	Prec@1 0.000 (0.702)	Prec@5 2.500 (3.373)
Epoch: [0][400/2151], lr: 0.00100	Time 1.720 (0.759)	Data 1.332 (0.365)	Loss 5.1800 (5.1442)	Prec@1 0.000 (0.711)	Prec@5 2.500 (3.373)
Epoch: [0][420/2151], lr: 0.00100	Time 1.557 (0.761)	Data 1.199 (0.368)	Loss 5.1169 (5.1428)	Prec@1 0.000 (0.689)	Prec@5 10.000 (3.397)
Epoch: [0][440/2151], lr: 0.00100	Time 1.506 (0.758)	Data 1.135 (0.366)	Loss 5.1019 (5.1419)	Prec@1 0.000 (0.697)	Prec@5 2.500 (3.430)
Epoch: [0][460/2151], lr: 0.00100	Time 2.617 (0.760)	Data 0.888 (0.367)	Loss 5.1087 (5.1414)	Prec@1 0.000 (0.689)	Prec@5 2.500 (3.400)
Epoch: [0][480/2151], lr: 0.00100	Time 1.653 (0.761)	Data 1.299 (0.368)	Loss 5.1096 (5.1404)	Prec@1 0.000 (0.686)	Prec@5 7.500 (3.415)
Epoch: [0][500/2151], lr: 0.00100	Time 1.931 (0.759)	Data 1.573 (0.368)	Loss 5.1381 (5.1391)	Prec@1 2.500 (0.694)	Prec@5 5.000 (3.443)
Epoch: [0][520/2151], lr: 0.00100	Time 2.385 (0.765)	Data 2.000 (0.375)	Loss 5.1779 (5.1382)	Prec@1 2.500 (0.696)	Prec@5 2.500 (3.450)
Epoch: [0][540/2151], lr: 0.00100	Time 1.651 (0.762)	Data 1.285 (0.373)	Loss 5.1101 (5.1372)	Prec@1 0.000 (0.679)	Prec@5 10.000 (3.517)
Epoch: [0][560/2151], lr: 0.00100	Time 1.921 (0.761)	Data 1.555 (0.373)	Loss 5.1102 (5.1363)	Prec@1 0.000 (0.686)	Prec@5 2.500 (3.512)
Epoch: [0][580/2151], lr: 0.00100	Time 2.212 (0.762)	Data 1.826 (0.374)	Loss 5.1259 (5.1356)	Prec@1 0.000 (0.693)	Prec@5 7.500 (3.533)
Epoch: [0][600/2151], lr: 0.00100	Time 0.976 (0.762)	Data 0.613 (0.373)	Loss 5.0550 (5.1345)	Prec@1 0.000 (0.703)	Prec@5 2.500 (3.602)
Epoch: [0][620/2151], lr: 0.00100	Time 1.894 (0.761)	Data 1.533 (0.373)	Loss 5.1606 (5.1340)	Prec@1 0.000 (0.713)	Prec@5 2.500 (3.619)
Epoch: [0][640/2151], lr: 0.00100	Time 2.276 (0.765)	Data 1.892 (0.378)	Loss 5.0986 (5.1330)	Prec@1 2.500 (0.714)	Prec@5 5.000 (3.666)
Epoch: [0][660/2151], lr: 0.00100	Time 1.591 (0.766)	Data 1.221 (0.380)	Loss 5.0867 (5.1323)	Prec@1 0.000 (0.715)	Prec@5 5.000 (3.684)
Epoch: [0][680/2151], lr: 0.00100	Time 2.904 (0.765)	Data 2.536 (0.379)	Loss 5.0697 (5.1314)	Prec@1 5.000 (0.734)	Prec@5 10.000 (3.744)
Epoch: [0][700/2151], lr: 0.00100	Time 2.622 (0.765)	Data 2.239 (0.380)	Loss 5.0766 (5.1301)	Prec@1 2.500 (0.752)	Prec@5 10.000 (3.805)
Epoch: [0][720/2151], lr: 0.00100	Time 1.674 (0.764)	Data 1.306 (0.379)	Loss 5.0590 (5.1289)	Prec@1 2.500 (0.766)	Prec@5 5.000 (3.838)
Epoch: [0][740/2151], lr: 0.00100	Time 1.687 (0.765)	Data 1.328 (0.381)	Loss 5.0815 (5.1283)	Prec@1 0.000 (0.759)	Prec@5 2.500 (3.826)
Epoch: [0][760/2151], lr: 0.00100	Time 2.364 (0.764)	Data 1.985 (0.380)	Loss 5.1386 (5.1275)	Prec@1 2.500 (0.765)	Prec@5 2.500 (3.834)
Epoch: [0][780/2151], lr: 0.00100	Time 1.521 (0.765)	Data 1.159 (0.383)	Loss 5.0341 (5.1270)	Prec@1 0.000 (0.784)	Prec@5 5.000 (3.854)
Epoch: [0][800/2151], lr: 0.00100	Time 2.383 (0.766)	Data 2.012 (0.384)	Loss 5.1311 (5.1266)	Prec@1 2.500 (0.777)	Prec@5 7.500 (3.873)
Epoch: [0][820/2151], lr: 0.00100	Time 1.049 (0.767)	Data 0.693 (0.384)	Loss 5.0524 (5.1257)	Prec@1 0.000 (0.783)	Prec@5 2.500 (3.873)
Epoch: [0][840/2151], lr: 0.00100	Time 1.744 (0.767)	Data 1.380 (0.384)	Loss 5.1170 (5.1251)	Prec@1 2.500 (0.785)	Prec@5 5.000 (3.894)
Epoch: [0][860/2151], lr: 0.00100	Time 1.620 (0.769)	Data 1.263 (0.386)	Loss 5.1183 (5.1245)	Prec@1 0.000 (0.781)	Prec@5 7.500 (3.917)
Epoch: [0][880/2151], lr: 0.00100	Time 1.860 (0.767)	Data 1.498 (0.385)	Loss 5.0878 (5.1236)	Prec@1 0.000 (0.789)	Prec@5 0.000 (3.936)
Epoch: [0][900/2151], lr: 0.00100	Time 3.074 (0.769)	Data 2.689 (0.386)	Loss 5.1028 (5.1230)	Prec@1 0.000 (0.785)	Prec@5 5.000 (3.943)
Epoch: [0][920/2151], lr: 0.00100	Time 1.932 (0.768)	Data 1.571 (0.385)	Loss 4.9985 (5.1222)	Prec@1 7.500 (0.793)	Prec@5 10.000 (3.955)
